id,State,Blockname,TreatYear,Treatment,Dosage,DistanceKm,Acres,T,T1,T2,T3,T4,C,C1,C2,C3,C4
89,OH,Mineral MD B,2010,MD,15g,88.5,32886,0.99,0.99,0.91,0.78,0.78,0.04,0.02,0.27,0.69,0.69
90,OH,Monroe BTK,2010,Btk,24BIUx2,186.4,262,1,1,1,0.93,1,0,0,,1.43,0
91,OH,Oak Hill A MD,2010,MD,6g,111.6,673,0.28,1,0.95,1,1,18.21,0,2.34,0.05,0
92,OH,Oak Hill B MD,2010,MD,6g,112.8,431,0.90,1,1,0.03,1,0.42,0,0,4.07,0
93,OH,Oakwood A MD,2010,MD,6g,13.5,1624,0.99,1,0.61,0.17,0.18,0.01,0,0.57,1.20,1.19
94,OH,Oakwood B MD,2010,MD,6g,20.2,533,0.87,0.36,0.70,0.57,0.67,0.53,2.57,1.21,1.72,1.35
95,OH,Oakwood C MD,2010,MD,6g,18.8,232,0.25,1,0.50,0.16,0.46,1.42,0,0.94,1.58,1.01
96,OH,Rainsboro BTK,2010,Btk,24BIUx2,145.8,412,0.99,1,1,1,1,1.75,0,0,0,
97,OH,Roundhead MD,2010,MD,6g,87,913,0.97,0.73,1,0.02,0.42,0.03,0.24,0,0.86,0.51
98,OH,Rushsylvania A MD,2010,MD,6g,79.1,4015,0.81,0.84,0.71,0.67,0.32,0.24,0.19,0.36,0.41,0.84
99,OH,Rushsylvania B BTK,2010,Btk-MD,24BIUx1,82.1,59,0.98,0.44,0.85,0.93,0.68,0.08,2.56,0.70,0.31,1.48
100,OH,Rushsylvania B MD,2010,MD,6g,82.2,2603,0.87,0.26,0.75,0.64,0.15,0.15,0.85,0.28,0.41,0.99
101,OH,South Bloomingville BTK,2010,Btk-MD,24BIUx1,89.8,1376,0.90,0.88,0.66,-0.30,-1.31,0.09,0.11,0.31,1.17,2.07
102,OH,South Bloomingville MD,2010,MD,6g,91.9,14856,0.68,0.93,-1.42,-3.66,-2.11,0.14,0.03,1.04,2.01,1.34
103,OH,West Mansfield BTK,2010,Btk,24BIUx2,69.4,120,-4,-7.67,-4.87,0.85,0.63,8.71,15.11,10.24,0.26,0.65
104,OH,Yellow Springs E MD,2010,MD,6g,127.7,1793,0.35,0.98,1,0.54,0.93,5.27,0.60,0,2.68,0.50
105,OH,Yellow Springs W BTK,2010,Btk-MD,24BIUx1,134.1,72,0.99,0.77,0.99,0.86,0.85,0.23,23.75,0.17,2.64,3.65
106,OH,Yellow Springs W MD,2010,MD,6g,134,1427,0.94,0.79,0.98,0.72,0.55,0.52,8.81,0.15,2.05,3.79
107,TN,Shady Valley,2010,MD,15g,51.8,357,1,1,1,1,1,0.24,0,0,0,0
108,VA,BSA1,2010,MD,6g,-140.7,62,,,,,,,,,,
109,VA,Big A Mountain,2010,MD,6g,41.2,2019,1,0.98,1,0.91,0.99,0,4.05,0,8.96,0.83
110,VA,Blairs,2010,MD,6g,-0.3,2535,0.99,0.99,0.94,0.41,0.90,0.04,0.02,0.20,1.84,0.31
111,VA,Brushy  Mtn.,2010,MD,15g,5.7,1601,1,0.86,0.99,1,0.99,0.02,2.88,0.11,0.07,0.19
